Group6,Group6_1,Group6_2,Group6_3,Group6_4
ENSMUSG00000030030,ENSMUSG00000024665,ENSMUSG00000036560,ENSMUSG00000071866,ENSMUSG00000076928
ENSMUSG00000020940,ENSMUSG00000034685,ENSMUSG00000042793,ENSMUSG00000067279,ENSMUSG00000071068
ENSMUSG00000089922,ENSMUSG00000057411,ENSMUSG00000024107,ENSMUSG00000039621,ENSMUSG00000049734
ENSMUSG00000087075,ENSMUSG00000096753,ENSMUSG00000062044,ENSMUSG00000078816,ENSMUSG00000044986
ENSMUSG00000034853,ENSMUSG00000027209,ENSMUSG00000030600,ENSMUSG00000044122,ENSMUSG00000030276
ENSMUSG00000035370,ENSMUSG00000024939,ENSMUSG00000033707,ENSMUSG00000090273,ENSMUSG00000022615
ENSMUSG00000027335,ENSMUSG00000058715,ENSMUSG00000047085,ENSMUSG00000036106,ENSMUSG00000044988
ENSMUSG00000040564,ENSMUSG00000037225,ENSMUSG00000073412,ENSMUSG00000034686,ENSMUSG00000032942
ENSMUSG00000022602,ENSMUSG00000054252,ENSMUSG00000030339,ENSMUSG00000024347,ENSMUSG00000020407
ENSMUSG00000028919,ENSMUSG00000008090,ENSMUSG00000022577,ENSMUSG00000032648,ENSMUSG00000024962
ENSMUSG00000007097,ENSMUSG00000003355,ENSMUSG00000019261,ENSMUSG00000003380,ENSMUSG00000037843
ENSMUSG00000002602,ENSMUSG00000038663,ENSMUSG00000030605,ENSMUSG00000001240,ENSMUSG00000048967
ENSMUSG00000004892,ENSMUSG00000049551,ENSMUSG00000034739,ENSMUSG00000026014,ENSMUSG00000055538
ENSMUSG00000000202,ENSMUSG00000089704,ENSMUSG00000019823,ENSMUSG00000074102,ENSMUSG00000049295
ENSMUSG00000045532,ENSMUSG00000042390,ENSMUSG00000008035,ENSMUSG00000045232
ENSMUSG00000040794,ENSMUSG00000055694,ENSMUSG00000035805,ENSMUSG00000071648
ENSMUSG00000053395,ENSMUSG00000049396,ENSMUSG00000064351,ENSMUSG00000028174
ENSMUSG00000028558,ENSMUSG00000024827,ENSMUSG00000064370,ENSMUSG00000041841
ENSMUSG00000025150,ENSMUSG00000034762,ENSMUSG00000064341,ENSMUSG00000094130
ENSMUSG00000024039,ENSMUSG00000026473,ENSMUSG00000064345,ENSMUSG00000090862
ENSMUSG00000030798,ENSMUSG00000038811,ENSMUSG00000064363,ENSMUSG00000034892
ENSMUSG00000041598,ENSMUSG00000043398,ENSMUSG00000064367,ENSMUSG00000061477
ENSMUSG00000024856,ENSMUSG00000034786,ENSMUSG00000064368,ENSMUSG00000043811
ENSMUSG00000031292,ENSMUSG00000059003,ENSMUSG00000064337,ENSMUSG00000050896
ENSMUSG00000087408,ENSMUSG00000035745,ENSMUSG00000064339,ENSMUSG00000033208
ENSMUSG00000063765,ENSMUSG00000045471,ENSMUSG00000033763,ENSMUSG00000047181
ENSMUSG00000032997,ENSMUSG00000026313,ENSMUSG00000006517,ENSMUSG00000037071
ENSMUSG00000022219,ENSMUSG00000048001,ENSMUSG00000030739,ENSMUSG00000031610
ENSMUSG00000022037,ENSMUSG00000061436,ENSMUSG00000026932,ENSMUSG00000040740
ENSMUSG00000028444,ENSMUSG00000075031,ENSMUSG00000022574,ENSMUSG00000048856
ENSMUSG00000017778,ENSMUSG00000093769,ENSMUSG00000079334,ENSMUSG00000030307
ENSMUSG00000036596,ENSMUSG00000025877,ENSMUSG00000036199,ENSMUSG00000020733
ENSMUSG00000027230,ENSMUSG00000039377,ENSMUSG00000033938,ENSMUSG00000017002
ENSMUSG00000003345,ENSMUSG00000025176,ENSMUSG00000044287,ENSMUSG00000001761
ENSMUSG00000038642,ENSMUSG00000039323,ENSMUSG00000054958,ENSMUSG00000027333
ENSMUSG00000024292,ENSMUSG00000040972,ENSMUSG00000070564,ENSMUSG00000072941
ENSMUSG00000039450,ENSMUSG00000030281,ENSMUSG00000048148,ENSMUSG00000063632
ENSMUSG00000063428,ENSMUSG00000024210,ENSMUSG00000046160,ENSMUSG00000056222
ENSMUSG00000063897,ENSMUSG00000031734,ENSMUSG00000027301,ENSMUSG00000020538
ENSMUSG00000029307,ENSMUSG00000086784,ENSMUSG00000092534,ENSMUSG00000004366
ENSMUSG00000042737,ENSMUSG00000022817,ENSMUSG00000030602,ENSMUSG00000052544
ENSMUSG00000053268,ENSMUSG00000090122,ENSMUSG00000089945,ENSMUSG00000020961
ENSMUSG00000022995,ENSMUSG00000037579,ENSMUSG00000025931,ENSMUSG00000024175
ENSMUSG00000015085,ENSMUSG00000050138,ENSMUSG00000023826,ENSMUSG00000041143
ENSMUSG00000052234,ENSMUSG00000026494,ENSMUSG00000042613,ENSMUSG00000049036
ENSMUSG00000004610,ENSMUSG00000034311,ENSMUSG00000020388,ENSMUSG00000024736
ENSMUSG00000019232,ENSMUSG00000031788,ENSMUSG00000024227,ENSMUSG00000013858
ENSMUSG00000034282,ENSMUSG00000036915,ENSMUSG00000098387,ENSMUSG00000040616
ENSMUSG00000021280,ENSMUSG00000078234,ENSMUSG00000024960,ENSMUSG00000023153
ENSMUSG00000052397,ENSMUSG00000039252,ENSMUSG00000053646,ENSMUSG00000059323
